state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_raw,alert_gfs_bc,alert_icon,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_cal,date,cycle_utc
Andaman and Nicobar,Andaman Islands,7.173611149191856,,,,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,7.173611149191856,NO ALERT,20260714,12
Andaman and Nicobar,Nicobar Islands,3.0,,,,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,3.0,NO ALERT,20260714,12
Andhra Pradesh,Adilabad,0.0,4.0761606715570755,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,0.6536825956746396,12.0,3,0.0,NO ALERT,20260714,12
Andhra Pradesh,Anantapur,0.0,1.9265067143587822,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260714,12
Andhra Pradesh,Chittoor,0.0,3.368414262952397,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260714,12
Andhra Pradesh,Cuddapah,0.0,2.8571641284965774,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260714,12
Andhra Pradesh,East Godavari,0.7904411817435175,3.3492775543455537,3.0,2.3713235452305526,0.0,NO ALERT,NO ALERT,NO ALERT,0.6496403418215934,12.0,3,0.7904411817435175,NO ALERT,20260714,12
Andhra Pradesh,Guntur,0.0,3.0654587271482976,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260714,12
Andhra Pradesh,Hyderabad,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260714,12
Andhra Pradesh,Karimnagar,0.0,3.5730150651793413,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.440971008952603,12.0,2,0.0,NO ALERT,20260714,12
